DAS Channel,Lat [decimal],Lon [decimal],Elevation [m],OD [m]
494,61.303465,-45.752674,-181.2,2364.28
495,61.303458,-45.752729,-181.5,2369.07
496,61.303451,-45.752784,-181.8,2373.86
497,61.303443,-45.752838,-182.1,2378.64
498,61.303436,-45.752893,-182.4,2383.43
499,61.303429,-45.752948,-182.7,2388.21
500,61.303422,-45.753003,-183.0,2393.0
501,61.303415,-45.753058,-183.3,2397.79
502,61.303407,-45.753113,-183.6,2402.57
503,61.3034,-45.753168,-183.9,2407.36
504,61.303391,-45.753236,-184.6,2412.14
505,61.303378,-45.753322,-185.8,2416.93
506,61.303366,-45.753407,-187.0,2421.72
507,61.303354,-45.753493,-188.2,2426.5
508,61.303342,-45.753579,-189.4,2431.29
509,61.303329,-45.753664,-190.6,2436.07
510,61.303317,-45.75375,-191.8,2440.86
511,61.303305,-45.753836,-192.9,2445.65
512,61.303297,-45.753924,-193.3,2450.43
513,61.303289,-45.754011,-193.7,2455.22
514,61.303281,-45.754099,-194.2,2460.0
515,61.303274,-45.754187,-194.6,2464.79
516,61.303266,-45.754275,-195.0,2469.58
517,61.303258,-45.754363,-195.4,2474.36
518,61.303249,-45.75445,-195.2,2479.15
519,61.30324,-45.754537,-194.4,2483.93
520,61.30323,-45.754625,-193.5,2488.72
521,61.30322,-45.754712,-192.7,2493.51
522,61.303211,-45.754799,-191.9,2498.29
523,61.303201,-45.754886,-191.0,2503.08
524,61.303192,-45.754973,-190.2,2507.86
525,61.303182,-45.755051,-188.1,2512.65
526,61.303172,-45.755122,-185.0,2517.44
527,61.303162,-45.755192,-182.0,2522.22
528,61.303153,-45.755263,-178.9,2527.01
529,61.303143,-45.755334,-175.8,2531.79
530,61.303133,-45.755404,-172.7,2536.58
531,61.303123,-45.755475,-169.6,2541.37
532,61.303113,-45.755546,-168.0,2546.15
533,61.303103,-45.755616,-167.7,2550.94
534,61.303093,-45.755687,-167.3,2555.72
535,61.303083,-45.755757,-167.0,2560.51
536,61.303073,-45.755828,-166.6,2565.3
537,61.303063,-45.755899,-166.2,2570.08
538,61.303053,-45.755969,-165.9,2574.87
539,61.303043,-45.75604,-165.5,2579.65
540,61.303034,-45.756111,-166.0,2584.44
541,61.303027,-45.756183,-167.4,2589.23
542,61.303019,-45.756255,-168.8,2594.01
543,61.303012,-45.756327,-170.2,2598.8
544,61.303005,-45.756399,-171.6,2603.58
545,61.302998,-45.756471,-173.0,2608.37
546,61.30299,-45.756543,-174.4,2613.16
547,61.302983,-45.756615,-175.8,2617.94
548,61.302976,-45.756687,-177.3,2622.73
549,61.302968,-45.756759,-178.7,2627.51
550,61.302961,-45.75684,-179.4,2632.3
551,61.302956,-45.756943,-178.1,2637.09
552,61.302951,-45.757047,-176.8,2641.87
553,61.302945,-45.757151,-175.5,2646.66
554,61.30294,-45.757254,-174.2,2651.44
555,61.302935,-45.757358,-173.0,2656.23
556,61.30293,-45.757462,-172.0,2661.02
557,61.302929,-45.757566,-172.4,2665.8
558,61.302927,-45.75767,-172.8,2670.59
559,61.302926,-45.757775,-173.2,2675.37
560,61.302924,-45.757879,-173.6,2680.16
561,61.302911,-45.757979,-172.3,2684.95
562,61.302894,-45.758077,-170.5,2689.73
563,61.302878,-45.758176,-168.7,2694.52
564,61.302862,-45.758274,-166.8,2699.3
565,61.302855,-45.758378,-165.2,2704.09
566,61.302849,-45.758481,-163.5,2708.88
567,61.302843,-45.758585,-161.9,2713.66
568,61.302838,-45.758688,-160.7,2718.45
569,61.302842,-45.758792,-161.5,2723.23
570,61.302845,-45.758896,-162.2,2728.02
571,61.302848,-45.759001,-163.0,2732.81
572,61.302852,-45.759105,-163.8,2737.59
573,61.302855,-45.759209,-164.5,2742.38
574,61.302862,-45.759271,-163.8,2747.16
575,61.302869,-45.759328,-162.9,2751.95
576,61.302876,-45.759384,-162.0,2756.74
577,61.302883,-45.759441,-161.1,2761.52
578,61.302891,-45.759497,-160.2,2766.31
579,61.302898,-45.759553,-159.3,2771.09
580,61.302905,-45.75961,-158.4,2775.88
581,61.302912,-45.759666,-157.4,2780.67
582,61.302922,-45.759721,-157.2,2785.45
583,61.302932,-45.759776,-157.0,2790.24
584,61.302942,-45.75983,-156.7,2795.02
585,61.302951,-45.759885,-156.5,2799.81
586,61.302961,-45.75994,-156.3,2804.6
587,61.302971,-45.759994,-156.0,2809.38
588,61.302981,-45.760049,-156.0,2814.17
589,61.302993,-45.760102,-156.6,2818.95
590,61.303005,-45.760155,-157.2,2823.74
591,61.303017,-45.760208,-157.8,2828.53
592,61.303029,-45.76026,-158.4,2833.31
593,61.303041,-45.760313,-159.0,2838.1
594,61.303052,-45.760366,-159.6,2842.88
595,61.303066,-45.760434,-160.7,2847.67
596,61.303084,-45.760531,-162.6,2852.46
597,61.303102,-45.760628,-164.5,2857.24
598,61.303119,-45.760724,-166.4,2862.03
599,61.303137,-45.760821,-168.4,2866.81
600,61.303152,-45.760919,-169.5,2871.6
601,61.303166,-45.761018,-170.5,2876.39
602,61.303181,-45.761117,-171.4,2881.17
603,61.303195,-45.761216,-172.3,2885.96
604,61.303209,-45.761315,-173.1,2890.74
605,61.30322,-45.761416,-173.3,2895.53
606,61.303231,-45.761516,-173.4,2900.32
607,61.303242,-45.761617,-173.5,2905.1
608,61.303253,-45.761718,-173.6,2909.89
609,61.303264,-45.761819,-173.8,2914.67
610,61.303276,-45.761919,-174.5,2919.46
611,61.303289,-45.762019,-176.3,2924.25
612,61.303302,-45.762118,-178.0,2929.03
613,61.303315,-45.762218,-179.8,2933.82
